
List of user-set options:

                                    Name   Value                used
                           linear_solver = ma57                  yes
                  ma57_automatic_scaling = yes                   yes
                                max_iter = 2000                  yes
                             mu_strategy = adaptive              yes
                             output_file = DynamicOptimization_FtildeStateIPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-006                yes
This is Ipopt version 3.11.0, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:   386260
Number of nonzeros in inequality constraint Jacobian.:    42048
Number of nonzeros in Lagrangian Hessian.............:    76913

Total number of variables............................:    44187
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    44187
                     variables with only upper bounds:        0
Total number of equality constraints.................:    33650
Total number of inequality constraints...............:    21025
        inequality constraints with only lower bounds:    10488
   inequality constraints with lower and upper bounds:       49
        inequality constraints with only upper bounds:    10488

 150 3.0673626e+000 1.31e+000 2.17e-003  -5.4 1.19e+000  -5.5 8.41e-001 9.15e-001h  1
 151 3.0628880e+000 2.22e-001 8.99e-004  -5.5 4.99e-001  -5.0 1.00e+000 1.00e+000h  1
 152 3.0601100e+000 3.46e-001 1.75e-004  -5.5 1.08e+000  -5.5 1.00e+000 1.00e+000h  1
 153 3.0516541e+000 4.53e+000 7.36e-004  -5.7 1.69e+000  -6.0 1.00e+000 1.00e+000h  1
 154 3.0634333e+000 1.20e+000 2.83e-003  -5.4 1.65e+000  -5.6 7.96e-001 9.03e-001h  1
 155 3.0578819e+000 8.45e+000 6.44e-004  -5.5 1.11e+000  -6.0 1.00e+000 1.00e+000h  1
 156 3.0577677e+000 8.00e-001 1.85e-003  -5.5 2.56e-001  -4.7 9.09e-001 1.00e+000h  1
 157 3.0505398e+000 7.70e-001 1.29e-003  -5.7 1.08e+000  -5.2 1.00e+000 1.00e+000h  1
 158 3.0598609e+000 6.39e-001 2.84e-003  -5.5 1.06e+000  -5.7 9.52e-001 1.00e+000h  1
 159 3.0557339e+000 2.13e-001 1.22e-003  -5.6 5.87e-001  -5.2 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160 3.0701592e+000 2.89e+000 1.10e-002  -5.3 1.89e+000  -5.7 6.53e-001 9.32e-001h  1
 161 3.0628663e+000 1.55e+000 1.21e-003  -5.5 8.85e-001  -5.3 1.00e+000 1.00e+000h  1
 162 3.0605135e+000 1.56e-001 7.66e-004  -5.5 8.27e-001  -5.8 1.00e+000 1.00e+000h  1
 163 3.0598110e+000 5.41e-002 1.54e-004  -5.5 1.06e+000  -6.2 1.00e+000 1.00e+000h  1
 164 3.0594638e+000 6.72e-002 2.84e-005  -5.5 1.99e+000  -6.7 1.00e+000 1.00e+000h  1
 165 3.0591174e+000 4.53e+000 2.17e-004  -5.5 8.83e+000  -7.2 1.00e+000 1.00e+000h  1
 166 3.0591015e+000 2.45e-001 3.68e-005  -5.5 5.32e-001  -5.9 1.00e+000 1.00e+000h  1
 167 3.0494043e+000 1.06e+001 1.32e-003  -5.7 1.59e+000  -6.3 1.00e+000 1.00e+000h  1
 168 3.0465335e+000 1.10e+000 1.19e-003  -5.7 4.19e+000  -6.8 1.00e+000 1.00e+000h  1
 169 3.0462763e+000 1.51e+000 3.65e-003  -5.7 9.12e+000  -7.3 1.00e+000 7.09e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170 3.0512917e+000 1.86e+000 1.64e-003  -5.5 3.36e+001  -7.8 2.24e-001 3.27e-001h  1
 171 3.0468619e+000 1.41e+000 6.60e-004  -5.7 7.42e-001  -5.5 1.00e+000 1.00e+000h  1
 172 3.0406078e+000 1.60e+000 9.09e-004  -5.9 1.86e+000  -6.0 1.00e+000 1.00e+000h  1
 173 3.0489924e+000 1.34e+000 3.98e-003  -5.6 3.09e+000  -6.5 8.03e-001 9.38e-001h  1
 174 3.0445852e+000 1.68e+000 4.13e-003  -5.8 1.71e+000  -6.1 1.00e+000 9.69e-001h  1
 175 3.0427370e+000 4.70e+000 3.42e-003  -5.8 3.27e+000  -6.5 1.00e+000 1.00e+000h  1
